date,normal,sns,total
"September 15, 2024",0,0,0
"September 16, 2024",0,0,0
"September 17, 2024",0,0,0
"September 18, 2024",0,0,0
"September 19, 2024",0,0,0
"September 20, 2024",0,0,0
"September 21, 2024",0,0,0
"September 22, 2024",0,0,0
"September 23, 2024",0,0,0
"September 24, 2024",0,0,0
"September 25, 2024",0,0,0
"September 26, 2024",0,0,0
"September 27, 2024",0,0,0
"September 28, 2024",13,0,13
"September 29, 2024",1,0,1
"September 30, 2024",12,0,12
